2018-08-21 21:12:47 status unpacked coreutils:amd64 8.28-1ubuntu1
2018-08-21 21:12:47 status unpacked coreutils:amd64 8.28-1ubuntu1
2018-08-21 21:12:47 install dash:amd64 <none> 0.5.8-2.10
2018-08-21 21:12:47 status half-installed dash:amd64 0.5.8-2.10
2018-08-21 21:12:47 status unpacked dash:amd64 0.5.8-2.10
2018-08-21 21:12:47 status unpacked dash:amd64 0.5.8-2.10
2018-08-21 21:12:47 install debconf:all <none> 1.5.66
2018-08-21 21:12:47 status half-installed debconf:all 1.5.66
2018-08-21 21:12:47 status unpacked debconf:all 1.5.66
2018-08-21 21:12:47 status unpacked debconf:all 1.5.66
2018-08-21 21:12:47 install debianutils:amd64 <none> 4.8.4
2018-08-21 21:12:47 status half-installed debianutils:amd64 4.8.4
2018-08-21 21:12:47 status unpacked debianutils:amd64 4.8.4
2018-08-21 21:12:47 status unpacked debianutils:amd64 4.8.4
2018-08-21 21:12:47 install diffutils:amd64 <none> 1:3.6-1
2018-08-21 21:12:47 status half-installed diffutils:amd64 1:3.6-1
2018-08-21 21:12:47 status unpacked diffutils:amd64 1:3.6-1
2018-08-21 21:12:47 status unpacked diffutils:amd64 1:3.6-1
2018-08-21 21:12:47 upgrade dpkg:amd64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2018-08-21 21:12:47 status half-configured dpkg:amd64 1.19.0.5ubuntu2
2018-08-21 21:12:47 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-08-21 21:12:47 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2018-08-21 21:12:48 status half-installed dpkg:amd64 1.19.0.5ubuntu2
2018-08-21 21:12:48 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-08-21 21:12:48 status unpacked dpkg:amd64 1.19.0.5ubuntu2
2018-08-21 21:12:48 install e2fsprogs:amd64 <none> 1.44.1-1
2018-08-21 21:12:48 status half-installed e2fsprogs:amd64 1.44.1-1
2018-08-21 21:12:48 status unpacked e2fsprogs:amd64 1.44.1-1
2018-08-21 21:12:48 status unpacked e2fsprogs:amd64 1.44.1-1
2018-08-21 21:12:48 install fdisk:amd64 <none> 2.31.1-0.4ubuntu3
2018-08-21 21:12:48 status half-installed fdisk:amd64 2.31.1-0.4ubuntu3
2018-08-21 21:12:48 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2018-08-21 21:12:48 status unpacked fdisk:amd64 2.31.1-0.4ubuntu3
2018-08-21 21:12:48 install findutils:amd64 <none> 4.6.0+git+20170828-2
2018-08-21 21:12:48 status half-installed findutils:amd64 4.6.0+git+20170828-2
2018-08-21 21:12:48 status unpacked findutils:amd64 4.6.0+git+20170828-2
2018-08-21 21:12:48 status unpacked findutils:amd64 4.6.0+git+20170828-2
2018-08-21 21:12:48 install gcc-8-base:amd64 <none> 8-20180414-1ubuntu2
2018-08-21 21:12:48 status half-installed gcc-8-base:amd64 8-20180414-1ubuntu2
2018-08-21 21:12:48 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2018-08-21 21:12:48 status unpacked gcc-8-base:amd64 8-20180414-1ubuntu2
2018-08-21 21:12:48 install grep:amd64 <none> 3.1-2
2018-08-21 21:12:48 status half-installed grep:amd64 3.1-2
2018-08-21 21:12:48 status unpacked grep:amd64 3.1-2
2018-08-21 21:12:48 status unpacked grep:amd64 3.1-2
2018-08-21 21:12:48 install gzip:amd64 <none> 1.6-5ubuntu1
2018-08-21 21:12:48 status half-installed gzip:amd64 1.6-5ubuntu1
